Lpix,spix,lambda,pixell,sens,pixels
586,776,200,328,0,886
592,769,300,439,0.1,792
599,762,400,546,0.2,696
606,752,500,657,0.3,597
612,741,600,762,0.4,499
619,733,700,872,,
628,720,800,980,,
636,709,,,,
642,699,,,,
650,689,,,,
658,676,,,,
665,665,,,,
676,647,,,,
681,637,,,,
687,625,,,,
695,605,,,,
703,590,,,,
707,580,,,,
712,569,,,,
717,559,,,,
727,551,,,,
737,548,,,,
748,562,,,,
753,572,,,,
756,580,,,,
759,590,,,,
766,608,,,,
770,618,,,,
767,612,,,,
775,627,,,,
779,642,,,,
784,653,,,,
789,664,,,,
801,689,,,,
807,698,,,,
809,707,,,,
813,714,,,,
819,721,,,,
822,732,,,,
826,740,,,,
832,751,,,,
836,760,,,,
842,769,,,,
847,780,,,,
853,790,,,,
859,803,,,,
863,812,,,,
869,819,,,,
874,830,,,,
881,838,,,,
887,847,,,,
893,855,,,,
